装備ID,装備名,種別,対空,対爆,迎撃
1,12cm単装砲,小口径主砲,1,0,0
2,12.7cm連装砲,小口径主砲,2,0,0
3,10cm連装高角砲,小口径主砲,7,0,0
4,14cm単装砲,中口径主砲,0,0,0
5,15.5cm三連装砲,中口径主砲,4,0,0
6,20.3cm連装砲,中口径主砲,3,0,0
7,35.6cm連装砲,大口径主砲,4,0,0
8,41cm連装砲,大口径主砲,4,0,0
9,46cm三連装砲,大口径主砲,5,0,0
10,12.7cm連装高角砲,副砲,4,0,0
11,15.2cm単装砲,副砲,0,0,0
12,15.5cm三連装副砲,副砲,3,0,0
13,61cm三連装魚雷,魚雷,0,0,0
14,61cm四連装魚雷,魚雷,0,0,0
15,61cm四連装(酸素)魚雷,魚雷,0,0,0
16,九七式艦攻,艦上攻撃機,0,0,0
17,天山,艦上攻撃機,0,0,0
18,流星,艦上攻撃機,0,0,0
19,九六式艦戦,艦上戦闘機,2,0,0
20,零式艦戦21型,艦上戦闘機,5,0,0
21,零式艦戦52型,艦上戦闘機,6,0,0
22,烈風,艦上戦闘機,10,0,0
23,九九式艦爆,艦上爆撃機,0,0,0
24,彗星,艦上爆撃機,0,0,0
25,零式水上偵察機,水上偵察機,1,0,0
26,瑞雲,水上爆撃機,2,0,0
27,13号対空電探,小型電探,2,0,0
28,22号対水上電探,小型電探,0,0,0
29,33号対水上電探,小型電探,0,0,0
30,21号対空電探,大型電探,4,0,0
31,32号対水上電探,大型電探,0,0,0
32,14号対空電探,大型電探,6,0,0
33,改良型艦本式タービン,機関部強化,0,0,0
34,強化型艦本式缶,機関部強化,0,0,0
35,三式弾,対空強化弾,5,0,0
36,九一式徹甲弾,対艦強化弾,0,0,0
37,7.7mm機銃,対空機銃,2,0,0
38,12.7mm単装機銃,対空機銃,3,0,0
39,25mm連装機銃,対空機銃,5,0,0
40,25mm三連装機銃,対空機銃,6,0,0
41,甲標的,特殊潜航艇,0,0,0
42,応急修理要員,応急修理要員,0,0,0
43,応急修理女神,応急修理要員,0,0,0
44,九四式爆雷投射機,爆雷,0,0,0
45,三式爆雷投射機,爆雷,0,0,0
46,九三式水中聴音機,ソナー,0,0,0
47,三式水中探信儀,ソナー,0,0,0
48,12.7cm単装高角砲,小口径主砲,3,0,0
49,25mm単装機銃,対空機銃,4,0,0
50,20.3cm(3号)連装砲,中口径主砲,4,0,0
51,12cm30連装噴進砲,対空機銃,8,0,0
52,流星改,艦上攻撃機,0,0,0
53,烈風改,艦上戦闘機,12,0,0
54,彩雲,艦上偵察機,0,0,0
55,紫電改二,艦上戦闘機,9,0,0
56,震電改,艦上戦闘機,15,0,0
57,彗星一二型甲,艦上爆撃機,0,0,0
58,61cm五連装(酸素)魚雷,魚雷,0,0,0
59,零式水上観測機,水上偵察機,2,0,0
60,零式艦戦62型(爆戦),艦上爆撃機,4,0,0
61,二式艦上偵察機,艦上偵察機,1,0,0
62,試製晴嵐,水上爆撃機,0,0,0
63,12.7cm連装砲B型改二,小口径主砲,2,0,0
64,Ju87C改,艦上爆撃機,0,0,0
65,15.2cm連装砲,中口径主砲,3,0,0
66,8cm高角砲,副砲,6,0,0
67,53cm艦首(酸素)魚雷,魚雷,0,0,0
68,大発動艇,上陸用舟艇,0,0,0
69,カ号観測機,オートジャイロ,0,0,0
70,三式指揮連絡機(対潜),対潜哨戒機,0,0,0
71,10cm連装高角砲(砲架),副砲,7,0,0
72,増設バルジ(中型艦),追加装甲(中型),0,0,0
73,増設バルジ(大型艦),追加装甲(大型),0,0,0
74,探照灯,探照灯,0,0,0
75,ドラム缶(輸送用),簡易輸送部材,0,0,0
76,38cm連装砲,大口径主砲,1,0,0
77,15cm連装副砲,副砲,2,0,0
78,12.7cm単装砲,小口径主砲,0,0,0
79,瑞雲(六三四空),水上爆撃機,2,0,0
80,瑞雲12型,水上爆撃機,3,0,0
81,瑞雲12型(六三四空),水上爆撃機,3,0,0
82,九七式艦攻(九三一空),艦上攻撃機,0,0,0
83,天山(九三一空),艦上攻撃機,0,0,0
84,2cm 四連装FlaK 38,対空機銃,7,0,0
85,3.7cm FlaK M42,対空機銃,8,0,0
86,艦艇修理施設,艦艇修理施設,0,0,0
87,新型高温高圧缶,機関部強化,0,0,0
88,22号対水上電探改四,小型電探,0,0,0
89,21号対空電探改,大型電探,5,0,0
90,20.3cm(2号)連装砲,中口径主砲,3,0,0
91,12.7cm連装高角砲(後期型),小口径主砲,5,0,0
92,毘式40mm連装機銃,対空機銃,6,0,0
93,九七式艦攻(友永隊),艦上攻撃機,1,0,0
94,天山一二型(友永隊),艦上攻撃機,1,0,0
95,潜水艦53cm艦首魚雷(8門),潜水艦魚雷,0,0,0
96,零式艦戦21型(熟練),艦上戦闘機,8,0,0
97,九九式艦爆(熟練),艦上爆撃機,1,0,0
98,九七式艦攻(熟練),艦上攻撃機,0,0,0
99,九九式艦爆(江草隊),艦上爆撃機,0,0,0
100,彗星(江草隊),艦上爆撃機,1,0,0
101,照明弾,照明弾,0,0,0
102,九八式水上偵察機(夜偵),水上偵察機(夜偵),0,0,0
103,試製35.6cm三連装砲,大口径主砲,5,0,0
104,35.6cm連装砲(ダズル迷彩),大口径主砲,5,0,0
105,試製41cm三連装砲,大口径主砲,5,0,0
106,13号対空電探改,小型電探,4,0,0
107,艦隊司令部施設,艦隊司令部施設,1,0,0
108,熟練艦載機整備員,航空要員,1,0,0
109,零戦52型丙(六〇一空),艦上戦闘機,9,0,0
110,烈風(六〇一空),艦上戦闘機,11,0,0
111,彗星(六〇一空),艦上爆撃機,0,0,0
112,天山(六〇一空),艦上攻撃機,0,0,0
113,流星(六〇一空),艦上攻撃機,0,0,0
114,38cm連装砲改,大口径主砲,2,0,0
115,Ar196改,水上偵察機,1,0,0
116,一式徹甲弾,対艦強化弾,0,0,0
117,試製46cm連装砲,大口径主砲,4,0,0
118,紫雲,水上偵察機,0,0,0
119,14cm連装砲,中口径主砲,0,0,0
120,91式高射装置,高射装置,2,0,0
121,94式高射装置,高射装置,3,0,0
122,10cm連装高角砲+高射装置,小口径主砲,10,0,0
123,SKC34 20.3cm連装砲,中口径主砲,2,0,0
124,FuMO25 レーダー,大型電探,7,0,0
125,61cm三連装(酸素)魚雷,魚雷,0,0,0
126,WG42 (Wurfgerat 42),対地装備,0,0,0
127,試製FaT仕様九五式酸素魚雷改,潜水艦魚雷,0,0,0
128,試製51cm連装砲,大口径主砲,5,0,0
129,熟練見張員,水上艦要員,1,0,0
130,12.7cm高角砲+高射装置,副砲,8,0,0
131,25mm三連装機銃 集中配備,対空機銃,9,0,0
132,零式水中聴音機,ソナー,0,0,0
133,381mm/50 三連装砲,大口径主砲,2,0,0
134,OTO 152mm三連装速射砲,副砲,2,0,0
135,90mm単装高角砲,副砲,8,0,0
136,プリエーゼ式水中防御隔壁,追加装甲(大型),0,0,0
137,381mm/50 三連装砲改,大口径主砲,4,0,0
138,二式大艇,大型飛行艇,0,0,0
139,15.2cm連装砲改,中口径主砲,3,0,0
140,96式150cm探照灯,大型探照灯,1,0,0
141,32号対水上電探改,大型電探,0,0,0
142,15m二重測距儀+21号電探改二,大型電探,8,0,0
143,九七式艦攻(村田隊),艦上攻撃機,1,0,0
144,天山一二型(村田隊),艦上攻撃機,1,0,0
145,戦闘糧食,戦闘糧食,0,0,0
146,洋上補給,洋上補給,0,0,0
147,120mm連装砲,小口径主砲,2,0,0
148,試製南山,艦上爆撃機,1,0,0
149,四式水中聴音機,ソナー,0,0,0
150,秋刀魚の缶詰,戦闘糧食,0,0,0
151,試製景雲(艦偵型),艦上偵察機,0,0,0
152,零式艦戦52型(熟練),艦上戦闘機,9,0,0
153,零戦52型丙(付岩井小隊),艦上戦闘機,10,0,0
154,零戦62型(爆戦/岩井隊),艦上戦闘機,7,0,0
155,零戦21型(付岩本小隊),艦上戦闘機,9,0,0
156,零戦52型甲(付岩本小隊),艦上戦闘機,11,0,0
157,零式艦戦53型(岩本隊),艦上戦闘機,12,0,0
158,Bf109T改,艦上戦闘機,8,0,0
159,Fw190T改,艦上戦闘機,10,0,0
160,10.5cm連装砲,副砲,6,0,0
161,16inch三連装砲 Mk.7,大口径主砲,3,0,0
162,203mm/53 連装砲,中口径主砲,1,0,0
163,Ro.43水偵,水上偵察機,1,0,0
164,Ro.44水上戦闘機,水上戦闘機,2,0,0
165,二式水戦改,水上戦闘機,3,0,0
166,大発動艇(八九式中戦車&陸戦隊),上陸用舟艇,0,0,0
167,特二式内火艇,特型内火艇,0,0,0
168,九六式陸攻,陸上攻撃機,1,0,0
169,一式陸攻,陸上攻撃機,2,0,0
170,一式陸攻(野中隊),陸上攻撃機,3,0,0
171,OS2U,水上偵察機,1,0,0
172,5inch連装砲 Mk.28 mod.2,副砲,9,0,0
173,Bofors 40mm四連装機関砲,対空機銃,10,0,0
174,53cm連装魚雷,魚雷,0,0,0
175,雷電,局地戦闘機,6,5,2
176,三式戦 飛燕,局地戦闘機,8,1,3
177,三式戦 飛燕(飛行第244戦隊),局地戦闘機,9,3,4
178,PBY-5A Catalina,大型飛行艇,0,0,0
179,試製61cm六連装(酸素)魚雷,魚雷,0,0,0
180,一式陸攻 二二型甲,陸上攻撃機,3,0,0
181,零式艦戦32型,艦上戦闘機,5,0,0
182,零式艦戦32型(熟練),艦上戦闘機,8,0,0
183,16inch三連装砲 Mk.7+GFCS,大口径主砲,3,0,0
184,Re.2001 OR改,艦上戦闘機,6,0,0
185,三式戦 飛燕一型丁,局地戦闘機,9,2,3
186,一式陸攻 三四型,陸上攻撃機,4,0,0
187,銀河,陸上攻撃機,3,0,0
188,Re.2001 G改,艦上攻撃機,4,0,0
189,Re.2005 改,艦上戦闘機,11,0,0
190,38.1cm Mk.I連装砲,大口径主砲,1,0,0
191,QF 2ポンド8連装ポンポン砲,対空機銃,10,0,0
192,38.1cm Mk.I/N連装砲改,大口径主砲,3,0,0
193,特大発動艇,上陸用舟艇,0,0,0
194,Late 298B,水上爆撃機,1,0,0
195,SBD,艦上爆撃機,2,0,0
196,TBD,艦上攻撃機,0,0,0
197,F4F-3,艦上戦闘機,4,0,0
198,F4F-4,艦上戦闘機,5,0,0
199,噴式景雲改,噴式戦闘爆撃機,6,0,0
200,橘花改,噴式戦闘爆撃機,12,0,0
203,艦本新設計 増設バルジ(中型艦),追加装甲(中型),0,0,0
204,艦本新設計 増設バルジ(大型艦),追加装甲(大型),0,0,0
205,F6F-3,艦上戦闘機,8,0,0
207,瑞雲(六三一空),水上爆撃機,1,0,0
208,晴嵐(六三一空),水上爆撃機,0,0,0
209,彩雲(輸送用分解済),輸送機材,0,0,0
210,潜水艦搭載電探&水防式望遠鏡,潜水艦装備,1,0,0
211,潜水艦搭載電探&逆探(E27),潜水艦装備,1,0,0
212,彩雲(東カロリン空),艦上偵察機,0,0,0
213,後期型艦首魚雷(6門),潜水艦魚雷,0,0,0
214,熟練聴音員+後期型艦首魚雷(6門),潜水艦魚雷,0,0,0
501,5inch単装砲,小口径主砲,0,0,0
502,5inch連装砲,小口径主砲,0,0,0
503,3inch単装高角砲,小口径主砲,1,0,0
504,5inch単装高射砲,中口径主砲,2,0,0
505,8inch三連装砲,中口径主砲,2,0,0
506,6inch連装速射砲,中口径主砲,3,0,0
507,14inch連装砲,大口径主砲,4,0,0
508,16inch連装砲,大口径主砲,4,0,0
509,16inch三連装砲,大口径主砲,5,0,0
510,5inch単装高射砲,副砲,2,0,0
511,6inch単装砲,副砲,0,0,0
512,12.5inch連装副砲,副砲,3,0,0
513,21inch魚雷前期型,魚雷,0,0,0
514,21inch魚雷後期型,魚雷,0,0,0
515,高速深海魚雷,魚雷,0,0,0
516,深海棲艦攻,艦上攻撃機,0,0,0
517,深海棲艦攻 Mark.II,艦上攻撃機,0,0,0
518,深海棲艦攻 Mark.III,艦上攻撃機,4,0,0
519,深海棲艦戦,艦上戦闘機,2,0,0
520,深海棲艦戦 Mark.II,艦上戦闘機,5,0,0
521,深海棲艦戦 Mark.III,艦上戦闘機,9,0,0
522,飛び魚艦戦,艦上戦闘機,13,0,0
523,深海棲艦爆,艦上爆撃機,0,0,0
524,深海棲艦爆 Mark.II,艦上爆撃機,0,0,0
525,深海棲艦偵察機,水上偵察機,1,0,0
526,飛び魚偵察機,水上偵察機,2,0,0
527,対空レーダ― Mark.I,小型電探,5,0,0
528,水上レーダ― Mark.I,小型電探,0,0,0
529,水上レーダ― Mark.II,小型電探,0,0,0
530,対空レーダ― Mark.II,小型電探,10,0,0
531,深海水上レーダー,大型電探,5,0,0
532,深海対空レーダ―,大型電探,18,0,0
533,改良型深海タービン,機関部強化,0,0,0
534,強化型深海缶,機関部強化,0,0,0
535,対空散弾,対空強化弾,10,0,0
536,劣化徹甲弾,対艦強化弾,0,0,0
537,12.7mm機銃,対空機銃,2,0,0
538,20mm機銃,対空機銃,4,0,0
539,40mm二連装機関砲,対空機銃,8,0,0
540,40mm四連装機関砲,対空機銃,12,0,0
541,深海烏賊魚雷,魚雷,0,0,0
542,深海爆雷投射機,爆雷,0,0,0
543,深海ソナー,ソナー,0,0,0
544,深海爆雷投射機 Mk.II,爆雷,0,0,0
545,深海ソナー Mk.II,ソナー,0,0,0
546,飛び魚艦爆,艦上爆撃機,8,0,0
547,深海猫艦戦,艦上戦闘機,10,0,0
548,深海地獄艦爆,艦上爆撃機,0,0,0
549,深海復讐艦攻,艦上攻撃機,4,0,0
550,5inch連装両用莢砲,小口径主砲,9,0,0
551,20inch連装砲,大口径主砲,4,0,0
552,15inch要塞砲,大口径主砲,0,0,0
553,4inch連装両用砲+CIC,小口径主砲,15,0,0
554,深海水上攻撃機,水上爆撃機,4,0,0
555,深海水上攻撃機改,水上爆撃機,9,0,0
556,深海猫艦戦改,艦上戦闘機,12,0,0
557,深海地獄艦爆改,艦上爆撃機,0,0,0
558,深海復讐艦攻改,艦上攻撃機,5,0,0
559,深海FCS+CIC,ソナー,6,0,0
560,深海探照灯,探照灯,0,0,0
561,深海解放陸爆,艦上爆撃機,3,0,0
562,深海解放陸爆Ace,艦上爆撃機,5,0,0
563,8inch長射程連装砲,中口径主砲,1,0,0
564,深海水上偵察観測機,水上偵察機,2,0,0
565,5inch沿岸設置砲,小口径主砲,0,0,0
566,深海猫艦戦(爆装),艦上爆撃機,7,0,0
567,沿岸設置レーダー,大型電探,4,0,0
568,16inch三連装砲,大口径主砲,3,0,0
569,深海偵察飛行艇,水上偵察機,1,0,0
570,高速深海魚雷 mod.2,魚雷,0,0,0
571,深海水母小鬼機,水上爆撃機,11,0,0
572,深海熊猫艦戦,艦上戦闘機,18,0,0
573,深海潜水下駄履き,水上爆撃機,6,0,0
